city,location,Status,latitude,longitude
Delhi,Sector 13 Dwarka,Furnished,28.60093117,77.03224945
Delhi,Sector 12 Dwarka,Semi-Furnished,28.59317017,77.0355072
Delhi,Sector 7 Dwarka,Semi-Furnished,28.58750153,77.06712341
Delhi,Pitampura,Unfurnished,28.69610023,77.12569427
Delhi,Janakpuri,Furnished,28.62119293,77.09102631
Delhi,Janakpuri,Semi-Furnished,28.60982704,77.10020447
Delhi,Janakpuri,Furnished,28.62897873,77.08043671
Delhi,Bindapur,Furnished,28.61527824,77.07889557
Delhi,Alaknanda,Semi-Furnished,28.52850342,77.25166321
Delhi,Govindpuri Extension,Furnished,28.53482056,77.25739288
Delhi,Dabri,Semi-Furnished,28.60906982,77.08935547
Delhi,Dabri,Semi-Furnished,28.60993385,77.09203339
Delhi,Dabri,Unfurnished,28.60726929,77.08944702
Delhi,Sitapuri,Semi-Furnished,28.61255646,77.08008575
Delhi,Dashrath Puri,Semi-Furnished,28.60668373,77.0828476
Delhi,Janakpuri,Unfurnished,28.60982704,77.10020447
Delhi,Bindapur,Semi-Furnished,28.60990334,77.07619476
Delhi,Dabri,Unfurnished,28.60993385,77.09203339
Delhi,Manglapuri,Semi-Furnished,28.60354996,77.08726501
Delhi,Janakpuri,Semi-Furnished,28.62897873,77.08043671
Delhi,Dabri,Unfurnished,28.61173439,77.08657074
Delhi,Dabri,Semi-Furnished,28.61173439,77.08657074
Delhi,Bindapur,Semi-Furnished,28.61802292,77.07226562
Delhi,Dabri,Semi-Furnished,28.60977364,77.0915451
Delhi,Sector 19 Dwarka,Furnished,28.58540726,77.04299927
Delhi,Sector 8 Dwarka,Semi-Furnished,28.57053947,77.07099152
Delhi,Sector 23 Dwarka,Semi-Furnished,28.56310081,77.05092621
Delhi,Sector 5 Dwarka,Semi-Furnished,28.59773827,77.0566864
Delhi,Sector 4 Dwarka,Semi-Furnished,28.60176086,77.04917145
Delhi,Sector 13 Dwarka,Furnished,28.60261345,77.03928375
Delhi,Kalyan Vihar,Semi-Furnished,28.68982697,77.19462585
Delhi,Sector 19 Dwarka,Furnished,28.57625961,77.04273224
Delhi,Govindpuri Extension,Unfurnished,28.53482056,77.25739288
Delhi,Paschim Vihar,Furnished,28.65725327,77.09198761
Delhi,Vasant Kunj,Furnished,28.52632713,77.15073395
Delhi,Vasant Kunj,Furnished,28.52456093,77.14914703
Delhi,Vasant Kunj,Semi-Furnished,28.51709366,77.15979767
Delhi,Vasant Kunj,Semi-Furnished,28.52384567,77.16378784
Delhi,Vasant Kunj,Semi-Furnished,28.53014183,77.15651703
Delhi,Sector-B Vasant Kunj,Semi-Furnished,28.52645111,77.15715027
Delhi,Hauz Khas,Semi-Furnished,28.55016518,77.19645691
Delhi,Green Park Extension,Semi-Furnished,28.55844879,77.20293427
Delhi,Green Park Extension,Semi-Furnished,28.55907249,77.20407104
Delhi,Safdarjung Development Area,Furnished,28.55068588,77.20052338
Delhi,Panchsheel Enclave,Semi-Furnished,28.54448891,77.2288208
Delhi,Malviya Nagar,Semi-Furnished,28.53393173,77.20658875
Delhi,Safdarjung Development Area,Semi-Furnished,28.55068588,77.20052338
Delhi,Green Park Extension,Furnished,28.55550957,77.20198822
Delhi,Pitampura,Furnished,28.69317627,77.13703156
Delhi,Pitampura,Semi-Furnished,28.69420052,77.1365509
Delhi,Pitampura,Furnished,28.6989975,77.1384201
Delhi,Pitampura,Semi-Furnished,28.69488335,77.11443329
Delhi,Defence Colony,Semi-Furnished,28.57263374,77.23251343
Delhi,Defence Colony,Unfurnished,28.57698059,77.23122406
Delhi,Lajpat Nagar,Semi-Furnished,28.5669384,77.23937225
Delhi,Sheikh Sarai,Semi-Furnished,28.54150009,77.21615601
Delhi,Shastri Nagar,Semi-Furnished,28.6752224,77.18372345
Delhi,Jor bagh,Semi-Furnished,28.58775711,77.21530914
Delhi,Green Park Extension,Semi-Furnished,28.56001091,77.20487976
Delhi,Golf Links,Semi-Furnished,28.59951973,77.23078156
Delhi,Greater kailash 1,Furnished,28.55195999,77.23581696
Delhi,Vasant Vihar,Furnished,28.56495285,77.15753937
Delhi,South Extension 2,Semi-Furnished,28.56525612,77.22035217
Delhi,Anand Niketan,Semi-Furnished,28.57889748,77.1645813
Delhi,Safdarjung Development Area,Semi-Furnished,28.55054855,77.20048523
